nazwa,email,www,typ,miasto
 SZKOŁA POLICEALNA FARMACEUTYCZNA W KĘTRZYNIE, stopka.ketrzyn@wp.pl, http://, Typ: Szkoła policealna,Kętrzyn
 SZKOŁA POLICEALNA MEDYCZNA W IŁAWIE, studiumstopka@wp.pl, http://www.szkoly.stopkapress.com.pl, Typ: Szkoła policealna,Iława
AKADEMICKI ZESPÓŁ PLACÓWEK OŚWIATOWYCH - LICEUM OGÓLNOKSZTAŁCĄCE W FIJEWIE, akademickizespol@gmail.com, http://www.szkolalubawa.pl, Typ: Liceum ogólnokształcące,Lubawa
AKSA LICEUM OGÓLNOKSZTAŁCĄCE W OLSZTYNIE, sekretariat@akademickieszkoly.pl, http://www.szkolyatena.pl, Typ: Liceum ogólnokształcące,Olsztyn
AKSA SZKOŁA POLICEALNA Z SIEDZIBĄ W OLSZTYNIE, sekretariat@akademickieszkoly.pl, http://www.szkolyatena.pl, Typ: Szkoła policealna,Olsztyn
ATUT LIDER KSZTAŁCENIA LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W OLSZTYNIE, olsztyn@apedukacja.pl, http://www.apedukacja.pl, Typ: Liceum ogólnokształcące,Olsztyn
ATUT LIDER KSZTAŁCENIA LICEUM OGÓLNOKSZTAŁCĄCE DLA MŁODZIEŻY, olsztyn@atutszkola.pl, https://atutszkola.pl/oddzialy/olsztyn/, Typ: Liceum ogólnokształcące,Olsztyn
ATUT LIDER KSZTAŁCENIA POLICEALNA SZKOŁA ROZWOJU ZAWODOWEGO W OLSZTYNIE, olsztyn@apedukacja.pl, http://www.apedukacja.pl, Typ: Szkoła policealna,Olsztyn
ATUT LIDER KSZTAŁCENIA POLICEALNA SZKOŁA ZAWODOWA W OLSZTYNIE, olsztyn@stutszkola.pl, http://www.atutszkola.pl, Typ: Szkoła policealna,Olsztyn
ATUT LIDER KSZTAŁCENIA POLICELANA SZKOŁA MEDYCZNA W OLSZTYNIE, olsztyn@atutszkola.pl, http://www.atutszkola.pl, Typ: Szkoła policealna,Olsztyn
GREENEDU LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W OLSZTYNIE, zettaspzoo@wp.pl, http://, Typ: Liceum ogólnokształcące,Olsztyn
GREENEDU LICEUM OGÓLNOKSZTAŁCĄCE DLA MŁODZIEŻY W OLSZTYNIE, zettaspzoo@wp.pl, http://, Typ: Liceum ogólnokształcące,Olsztyn
GREENEDU SZKOŁA POLICEALNA W OLSZTYNIE, zettaspzoo@wp.pl, http://, Typ: Szkoła policealna,Olsztyn
I LICEUM OGÓLNOKSZTAŁCĄCE CN-B IM. POLSKICH SPADOCHRONIARZY W KĘTRZYNIE, ketrzyn@cnb-feniks.edu.pl, http://www.szkolyfeniks.pl, Typ: Liceum ogólnokształcące,Kętrzyn
I LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ZESPOLE SZKÓŁ W PASŁĘKU, zspaslek@wp.pl, http://zspaslek.edu.pl, Typ: Liceum ogólnokształcące,Pasłęk
I LICEUM OGÓLNOKSZTAŁCĄCE IM JULIUSZA SŁOWACKIEGO W ELBLĄGU, zso@elblag.eu, http://www.zsoelblag.pl, Typ: Liceum ogólnokształcące,Elbląg
I LICEUM OGÓLNOKSZTAŁCĄCE IM. ADAMA MICKIEWICZA W OLSZTYNIE, liceum@lo1.olsztyn.eu, http://www.lo1.olsztyn.pl, Typ: Liceum ogólnokształcące,Olsztyn
I LICEUM OGÓLNOKSZTAŁCĄCE IM. BOJOWNIKÓW O POLSKOŚĆ MAZUR W PISZU, 1lo.wpiszu@gmail.com, http://www.zso.pisz.pl, Typ: Liceum ogólnokształcące,Pisz
I LICEUM OGÓLNOKSZTAŁCĄCE IM. JACKA KACZMARSKIEGO W OLSZTYNKU, zs.olsztynek@zamek.edu.pl, http://www.zamek.edu.pl, Typ: Liceum ogólnokształcące,Olsztynek
I LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA KOCHANOWSKIEGO W OLECKU, sekretariat@lo.olecko.pl, http://www.lo.olecko.pl, Typ: Liceum ogólnokształcące,Olecko
I LICEUM OGÓLNOKSZTAŁCĄCE IM. OBROŃCÓW WESTERPLATTE W MRĄGOWIE, mraglo@wp.pl, http://www.lo1.mragowo.pl, Typ: Liceum ogólnokształcące,Mrągowo
I LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA ŻEROMSKIEGO, liceumilawa@poczta.onet.pl, http://www.zsog.ilawa.pl, Typ: Liceum ogólnokształcące,Iława
I LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA ŻEROMSKIEGO W EŁKU, lo1@elk.edu.pl, http://lo1.elk.edu.pl, Typ: Liceum ogólnokształcące,Ełk
I LICEUM OGÓLNOKSZTAŁCĄCE IM. WOJCIECHA KĘTRZYŃSKIEGO, lo1gizycko@poczta.onet.pl, http://www.lo1.gizycko.edu.pl, Typ: Liceum ogólnokształcące,Giżycko
I LICEUM OGÓLNOKSZTAŁCĄCE IM. WOJCIECHA KĘTRZYŃSKIEGO W KĘTRZYNIE, lo_ketrzyn.zso@poczta.onet.pl, http://, Typ: Liceum ogólnokształcące,Kętrzyn
I LICEUM OGÓLNOKSZTAŁCĄCE W ZESPOLE SZKÓŁ W PASŁĘKU, zspaslek@wp.pl, http://zspaslek.edu.pl, Typ: Liceum ogólnokształcące,Pasłęk
I LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. STEFANA ŻEROMSKIEGO W DZIAŁDOWIE, zsnr1@o2.pl, http://www.zsnr1.eu, Typ: Liceum ogólnokształcące,Działdowo
II LICEUM OGÓLNOKSZTAŁCĄCE, lo2pisz@gmail.com, http://www.zs1.pisz.pl, Typ: Liceum ogólnokształcące,Pisz
II LICEUM OGÓLNOKSZTAŁCĄCE, zsilawa@powiat-ilawski.pl, http://www.zsilawa.pl, Typ: Liceum ogólnokształcące,Iława
II LICEUM OGÓLNOKSZTAŁCĄCE, zsliz.olecko1@gmail.com, http://www.zsliz.olecko.szkolnastrona.pl, Typ: Liceum ogólnokształcące,Olecko
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, zst@zst.olecko.pl, http://www.zst.olecko.pl, Typ: Liceum ogólnokształcące,Olecko
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W BISKUPCU, zsbiskupiec@interia.pl, http://www.zslo.net.pl, Typ: Liceum ogólnokształcące,Biskupiec
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ZESPOLE SZKÓŁ EKONOMICZNYCH I TECHNICZNYCH W PASŁĘKU, zseitpaslek@elblag.net, http://www.zseit.paslek.edu.pl/, Typ: Liceum ogólnokształcące,Pasłęk
II LICEUM OGÓLNOKSZTAŁCĄCE IM. GUSTAWA GIZEWIUSZA, sekretariat1@poczta.onet.pl, http://www.lo2.eu, Typ: Liceum ogólnokształcące,Giżycko
II LICEUM OGÓLNOKSZTAŁCĄCE IM. KONSTANTEGO ILDEFONSA GAŁCZYŃSKIEGO W OLSZTYNIE, szkola@zso1.olsztyn.pl, http://www.zso1.olsztyn.pl, Typ: Liceum ogólnokształcące,Olsztyn
II LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO W MRĄGOWIE, baza.sekretariat@op.pl, http://, Typ: Liceum ogólnokształcące,Mrągowo
II LICEUM OGÓLNOKSZTAŁCĄCE W EŁKU, sekretariatzs2@zs2.elk.pl, http://zs2.elk.pl, Typ: Liceum ogólnokształcące,Ełk
II LICEUM OGÓLNOKSZTAŁCĄCE W KĘTRZYNIE,, http://, Typ: Liceum ogólnokształcące,Kętrzyn
II LICEUM OGÓLNOKSZTAŁCĄCE W ZESPOLE SZKÓŁ EKONOMICZNYCH I TECHNICZNYCH W PASŁĘKU, zseitpaslek@elblag.net, http://www.zseit.paslek.edu.pl/, Typ: Liceum ogólnokształcące,Pasłęk
II LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KAZIMIERZA JAGIELLOŃCZYKA W ELBLĄGU, 2lo@elblag.eu, http://www.2lo.elblag.pl, Typ: Liceum ogólnokształcące,Elbląg
II LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI W ZESPOLE SZKÓŁ NR 2 IM.JANA PAWŁA II DZIAŁDOWIE, zs2dzialdowo@wp.pl, http://zs2dzialdowo.pl, Typ: Liceum ogólnokształcące,Działdowo
II PRYWATNE LICEUM OGÓLNOKSZTAŁCĄCE W KĘTRZYNIE, sekretariat@prywgim.pl, http://www.prywgim.pl/, Typ: Liceum ogólnokształcące,Kętrzyn
III LICEUM OGÓLNOKSZTAŁCĄCE, zsilawa@poczta.onet.pl, http://www.zs-ilawa.pl, Typ: Liceum ogólnokształcące,Iława
III LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II W ELBLĄGU, 3lo@elblag.eu, http://www.3lo.elblag.pl, Typ: Liceum ogólnokształcące,Elbląg
III LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA W OLSZTYNIE, lo3@lo3.olsztyn.eu, http://www.lo3.olsztyn.pl, Typ: Liceum ogólnokształcące,Olsztyn
IV LICEUM OGÓLNOKSZTAŁCĄCE IM. KOMISJI EDUKACJI NARODOWEJ W ELBLĄGU, 4lo@elblag.eu, http://www.liceum.elblag.pl, Typ: Liceum ogólnokształcące,Elbląg
IV LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ-CURIE W OLSZTYNIE, sekretariat@zso2.olsztyn.eu, http://www.4lo.pl, Typ: Liceum ogólnokształcące,Olsztyn
IX LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI W OLSZTYNIE, szkola.lo9@zso3.olsztyn.eu, http://www.lo9.zso3.olsztyn.pl, Typ: Liceum ogólnokształcące,Olsztyn
KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II W BISKUPCU, kgs_bc@wp.pl, http://, Typ: Liceum ogólnokształcące,Biskupiec
KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE W LIDZBARKU WARMIŃSKIM, klolidzbark@gmail.com, http://www.liceumlidzbark.pl/index, Typ: Liceum ogólnokształcące,LidzbarkWarmiński
KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE W PISZU, zsk.pisz@neostrada.pl, http://www.zsk.pisz.pl, Typ: Liceum ogólnokształcące,Pisz
LICEUM OGÓLNOKSZTAŁCACE DLA DOROSŁYCH,, http://, Typ: Liceum ogólnokształcące,Nidzica
LICEUM OGÓLNOKSZTAŁCACE DLA DOROSŁYCH W NIDZICY,, http://, Typ: Liceum ogólnokształcące,Nidzica
LICEUM OGÓLNOKSZTAŁCACE DLA DOROSŁYCH W SZCZYTNIE,, http://, Typ: Liceum ogólnokształcące,Szczytno
LICEUM OGÓLNOKSZTAŁCACE DLA DOROSŁYCH ZAKŁADU DOSKONALENIA ZAWODOWEGO W BIAŁYMSTOKU Z/S W WĘGORZEWIE, wegorzewo@zdz.bialystok.pl, http://www.zdz.bialystok.pl, Typ: Liceum ogólnokształcące,Węgorzewo
LICEUM OGÓLNOKSZTAŁCACE SŁUŻB MUNDUROWYCH W BIELICACH, zs.bielice@wp.pl, http://www.bielice.com, Typ: Liceum ogólnokształcące,Krotoszyny
LICEUM OGÓLNOKSZTAŁCĄCE, gim-nida@o2.pl, http://www.gim-nida.mazury.pl, Typ: Liceum ogólnokształcące,Ruciane-Nida
LICEUM OGÓLNOKSZTAŁCĄCE,, http://, Typ: Liceum ogólnokształcące,Szczytno
LICEUM OGÓLNOKSZTAŁCĄCE, zs2szczytno@poczta.onet.pl, http://zs2.powiatszczycienski.pl/, Typ: Liceum ogólnokształcące,Szczytno
LICEUM OGÓLNOKSZTAŁCĄCE, zspjeziorany@wp.pl, http://www.zspjeziorany.szkolnastrona.pl, Typ: Liceum ogólnokształcące,Jeziorany
LICEUM OGÓLNOKSZTAŁCĄCE, zs2szczytno@poczta.onet.pl, http://zs2.powiatszczycienski.pl/, Typ: Liceum ogólnokształcące,Szczytno
LICEUM OGÓLNOKSZTAŁCĄCE, zspjeziorany@wp.pl, http://www.zspjeziorany.szkolnastrona.pl, Typ: Liceum ogólnokształcące,Jeziorany
LICEUM OGÓLNOKSZTAŁCĄCE, kisielicerol@pro.onet.pl, http://www.zsr-kisielice.pl, Typ: Liceum ogólnokształcące,Kisielice
LICEUM OGÓLNOKSZTAŁCĄCE, zsimc.k.norwida@wp.pl, http://www.norwid.eu, Typ: Liceum ogólnokształcące,NoweMiastoLubawskie
LICEUM OGÓLNOKSZTAŁCĄCE, zssusz@wp.pl, http://www.zssusz.home.pl, Typ: Liceum ogólnokształcące,Susz
LICEUM OGÓLNOKSZTAŁCĄCE "EPROM" W OLSZTYNIE, danawasilewska@interia.pl, http://www.eprom.go3.pl, Typ: Liceum ogólnokształcące,Olsztyn
LICEUM OGÓLNOKSZTAŁCĄCE "OSKAR", patoslubin@wp.pl, http://www.oskar.olsztyn.pl, Typ: Liceum ogólnokształcące,Olsztyn
LICEUM OGÓLNOKSZTAŁCĄCE "OSKAR", patoslubin@wp.pl, http://www.oskar.olsztyn.pl, Typ: Liceum ogólnokształcące,Olsztyn
LICEUM OGÓLNOKSZTAŁCĄCE "PATOS" W OLSZTYNIE, oskar@oskar.olsztyn.pl, http://www.patosolsztyn.pl, Typ: Liceum ogólnokształcące,Olsztyn
LICEUM OGÓLNOKSZTAŁCĄCE CN-B IM. CICHOCIEMNYCH W OLSZTYNIE, olsztyn@cnb-feniks.edu.pl, http://www.szkolyfeniks.pl, Typ: Liceum ogólnokształcące,Olsztyn
LICEUM OGÓLNOKSZTAŁCĄCE DAR W DZIAŁDOWIE, liceum.dzialdowo@darsa.pl, http://www.edukacja.darsa.pl, Typ: Liceum ogólnokształcące,Działdowo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, m.kluz@wmzdz.pl, http://www.szkola.wmzdz.pl, Typ: Liceum ogólnokształcące,Olsztyn
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, zs2szczytno@poczta.onet.pl, http://zs2.powiatszczycienski.pl, Typ: Liceum ogólnokształcące,Szczytno
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, zszgoldap@post.pl, http://, Typ: Liceum ogólnokształcące,Gołdap
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH,, http://, Typ: Liceum ogólnokształcące,LidzbarkWarmiński
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, sekretariat.zszbraniewo@gmail.com, http://www.zszbraniewo.pl, Typ: Liceum ogólnokształcące,Braniewo
LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, cku@darsa.pl, http://www.edukacja.darsa.pl, Typ: Liceum ogólnokształcące,Działdowo
