nazwa,email,www,typ,miasto
 SZKOŁA POLICEALNA DLA DOROSŁYCH W WĄBRZEŹNIE, zsz_wabrzezno@post.pl, http://www.zszwabrzezno.pl, Typ: Szkoła policealna,Wąbrzeźno
AKADEMIA - POLICEALNE STUDIUM ZAWODOWE, bydgoszcz@akademia-zdrowia.pl, http://www.akademia-zdrowia.pl, Typ: Szkoła policealna,Bydgoszcz
AKADEMIA-POLICEALNA SZKOŁA ZAWODOWA, bydgoszcz@akademia-zdrowia.pl, http://www.akademia-zdrowia.pl, Typ: Szkoła policealna,Bydgoszcz
AKADEMIA-POLICEALNA SZKOŁA ZAWODOWA NR 1, bydgoszcz@akademia-zdrowia.pl, http://www.akademia-zdrowia.pl, Typ: Szkoła policealna,Bydgoszcz
AKADEMICKA SZKOŁA POLICEALNA PRZY PAŃSTWOWEJ UCZELNI ZAWODOWEJ WE WŁOCŁAWKU, aneta.wozniak@pwsz.wloclawek.pl, http://asp.psww.pl, Typ: Szkoła policealna,Włocławek
AKADEMICKA SZKOŁA POLICEALNA WE WŁOCŁAWKU, sekretariat@zsa.wloclawek.pl, http://zsa.wloclawek.pl, Typ: Szkoła policealna,Włocławek
AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE, akademickielo@wp.pl, http://www.akademickielo.wsjo.edu.pl, Typ: Liceum ogólnokształcące,Świecie
AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH WE WŁOCŁAWKU, sekretariat@zsa.wloclawek.pl, http://zsa.wloclawek.pl, Typ: Liceum ogólnokształcące,Włocławek
AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO NR 1 IM." OBROŃCÓW  WISŁY 1920 ROKU" WE WŁOCŁAWKU, sekretariat@zsa.wloclawek.pl, http://zsa.wloclawek.pl, Typ: Liceum ogólnokształcące,Włocławek
AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE NR 1 IM. "OBROŃCÓW WISŁY 1920 ROKU" WE WŁOCŁAWKU, sekretariat@zsa.wloclawek.pl, http://zsa.wloclawek.pl, Typ: Liceum ogólnokształcące,Włocławek
