nazwa,email,www,typ,miasto
 SZKOŁA POLICEALNA NR 1 W BIELSKU PODLASKIM, zsznr4bp@op.pl, http://www.zsnr4.ovh.org, Typ: Szkoła policealna,BielskPodlaski
"EDUCENTRUM" POLICEALNA SZKOŁA MEDYCZNA W BIAŁYMSTOKU, biuro@educentrum.com.pl, http://, Typ: Szkoła policealna,Białystok
AKADEMICKA POLICEALNA SZKOŁA MEDYCZNA W BIAŁYMSTOKU, biuro@wsmed.pl, http://wsmed.edu.pl, Typ: Szkoła policealna,Białystok
AKADEMICKA SZKOŁA POLICEALNA DLA DOROSŁYCH, azsp@pwsip.edu.pl, http://www.pwsip.edu.pl/azsp, Typ: Szkoła policealna,Łomża
AKADEMICKA SZKOŁA POLICEALNA W ŁOMŻY, azsp@pwsip.edu.pl, http://www.pwsip.edu.pl/azsp, Typ: Szkoła policealna,Łomża
AKADEMICKA SZKOŁA PONADPODSTAWOWA W ŁOMŻY, asp@wsa.edu.pl, http://zsa.wsa.edu.pl/, Typ: Technikum,Łomża
AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE W ŁOMŻY, asp@wsa.edu.pl, http://zsa.wsa.edu.pl/, Typ: Liceum ogólnokształcące,Łomża
AKADEMICKIE MEDYCZNE LICEUM OGÓLNOKSZTAŁCĄCE W BIAŁYMSTOKU, biuro@wsmed.pl, http://, Typ: Liceum ogólnokształcące,Białystok
AUGUSTOWSKIE CENTRUM EDUKACYJNE SZKOŁA POLICEALNA NR 1 W AUGUSTOWIE, ace@acedu.pl, http://www.acedu.pl, Typ: Szkoła policealna,Augustów
AUGUSTOWSKIE CENTRUM EDUKACYJNE W AUGUSTOWIE TECHNIKUM NR 1 W AUGUSTOWIE IM. 2 KORPUSU POLSKIEGO, ace@acedu.pl, http://www.acedu.pl, Typ: Technikum,Augustów
AURO LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W BIAŁYMSTOKU, bialystok@atutszkola.pl, http://www.atutszkola.pl, Typ: Liceum ogólnokształcące,Białystok
AURO POLICEALNA SZKOŁA ZAWODOWA W BIAŁYMSTOKU, bialystok@atutszkola.pl, http://, Typ: Szkoła policealna,Białystok
BIAŁOSTOCKA SZKOŁA REALNA, kontakt.fundacjapro@gmail.com, http://, Typ: Liceum ogólnokształcące,Białystok
CENTRUM ZAWODÓW MEDYCZNYCH I SPOŁECZNYCH - SZKOŁA POLICEALNA WOJEWÓDZTWA PODLASKIEGO W BIAŁYMSTOKU, sekretariat@sp1oz.pl, http://sp1oz.pl/index.php, Typ: Szkoła policealna,Białystok
EUROPEJSKA SZKOŁA STYLIZACJI "VENA ART", biuro@venaart.com, http://, Typ: Szkoła policealna,Białystok
I LICEUM OGÓLNOKSZTAŁCĄCE CN-B IM. POLSKICH SPADOCHRONIARZY W BIAŁYMSTOKU, bialystok@cnb-feniks.edu.pl, http://www.szkolyfeniks.pl, Typ: Liceum ogólnokształcące,Białystok
I LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ŁOMŻY, info@zckpiu.pl, http://www.zckpiu.pl, Typ: Liceum ogólnokształcące,Łomża
I LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ZAOCZNE W BIELSKU PODLASKIM, zsbielsk@webmedia.com.pl, http://www.zs1bielsk.ehost.pl, Typ: Liceum ogólnokształcące,BielskPodlaski
I LICEUM OGÓLNOKSZTAŁCĄCE IM. ADAMA MICKIEWICZA W BIAŁYMSTOKU, lo1@um.bialystok.pl, http://www.ilo.pl, Typ: Liceum ogólnokształcące,Białystok
I LICEUM OGÓLNOKSZTAŁCĄCE IM. ADAMA MICKIEWICZA W KOLNIE, zspkolno@op.pl, http://www.1lokolno.pl, Typ: Liceum ogólnokształcące,Kolno
I LICEUM OGÓLNOKSZTAŁCĄCE IM. ADAMA MICKIEWICZA W ŁAPACH, lolapy@lo-lapy.org, http://www.lo-lapy.pl, Typ: Liceum ogólnokształcące,Łapy
I LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ CURIE  W HAJNÓWCE, sekretariat@zsohajnowka.pl, http://www.zsohajnowka.pl, Typ: Liceum ogólnokształcące,Hajnówka
I LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA W GRAJEWIE, lograjewo@op.pl, https://zs1grajewo.edupage.org/, Typ: Liceum ogólnokształcące,Grajewo
I LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA KONARSKIEGO W ZAMBROWIE, sekretariatlo@powiatzambrowski.com, https://lo.powiatzambrowski.com, Typ: Liceum ogólnokształcące,Zambrów
I LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI W BIELSKU PODLASKIM, 1lo_bielsk_podlaski@wp.pl, http://www.1lobielskpodlaski.edupage.org, Typ: Liceum ogólnokształcące,BielskPodlaski
I LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI W ŁOMŻY, zso.lomza@gmail.com, http://1lo.lomza.pl, Typ: Liceum ogólnokształcące,Łomża
I LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. MARII KONOPNICKIEJ W SUWAŁKACH, sekretariat@1lo.suwalki.eu, http://www.1lo.suwalki.pl, Typ: Liceum ogólnokształcące,Suwałki
I SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE W BIAŁYMSTOKU, slosto@slosto.biaman.pl, http://slosto.pl, Typ: Liceum ogólnokształcące,Białystok
II LICEUM OGÓLNOKSZTAŁCĄCE,, http://, Typ: Liceum ogólnokształcące,Łapy
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, liceum@liceum.net, http://liceum.net, Typ: Liceum ogólnokształcące,CzarnaBiałostocka
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO W KOLNIE, zstkolno@wp.pl, http://www.zstkolno.pl, Typ: Liceum ogólnokształcące,Kolno
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH IM. STANISŁAWA STASZICA W ŁOMŻY, edu@praca.org.pl, http://, Typ: Liceum ogólnokształcące,Łomża
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W BIAŁYMSTOKU ZESPOŁU SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 3 W BIAŁYMSTOKU, zso3@um.bialystok.pl, http://, Typ: Liceum ogólnokształcące,Białystok
II LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W MICHAŁOWIE,, http://, Typ: Liceum ogólnokształcące,Michałowo
II LICEUM OGÓLNOKSZTAŁCĄCE IM. GEN. ZYGMUNTA PODHORSKIEGO W SUWAŁKACH, sekretariat@zs2.suwalki.eu, http://www.zs2.suwalki.pl, Typ: Liceum ogólnokształcące,Suwałki
II LICEUM OGÓLNOKSZTAŁCĄCE IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO W KOLNIE, zstkolno@wp.pl, http://www.zstkolno.pl, Typ: Liceum ogólnokształcące,Kolno
II LICEUM OGÓLNOKSZTAŁCĄCE IM. KSIĘŻNEJ ANNY Z SAPIEHÓW JABŁONOWSKIEJ W BIAŁYMSTOKU ZESPOŁU SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 2 W BIAŁYMSTOKU, zso2@um.bialystok.pl, http://www.zso2bialystok.pl, Typ: Liceum ogólnokształcące,Białystok
II LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII KONOPNICKIEJ W ŁOMŻY, 2lolomza@onet.eu, http://www.lomza2lo.webd.pl, Typ: Liceum ogólnokształcące,Łomża
II LICEUM OGÓLNOKSZTAŁCĄCE W AUGUSTOWIE IM. POLONII I POLAKÓW NA ŚWIECIE, 2lo@st.augustow.wrotapodlasia.pl, http://www.lo2.augustow.pl, Typ: Liceum ogólnokształcące,Augustów
II LICEUM OGÓLNOKSZTAŁCĄCE W GRAJEWIE, zsnr2grajewo@wp.pl, http://www.zs2.grajewo.pl, Typ: Liceum ogólnokształcące,Grajewo
II LICEUM OGÓLNOKSZTAŁCĄCE W ZAMBROWIE, zs1rowecki@powiatzambrowski.com, http://www.zs1rowecki.pl, Typ: Liceum ogólnokształcące,Zambrów
II LICEUM OGÓLNOKSZTAŁCĄCE Z BIAŁORUSKIM JĘZYKIEM NAUCZANIA IM BRONISŁAWA TARASZKIEWICZA W BIELSKU PODLASKIM, lozbjn@gmail.com, http://www.lozbjn.edu.pl, Typ: Liceum ogólnokształcące,BielskPodlaski
II LICEUM OGÓLNOKSZTAŁCĄCE Z DODATKOWĄ NAUKĄ JĘZYKA BIAŁORUSKIEGO W HAJNÓWCE, sekretariat@bialorushajnowka.pl, http://www.bialorus.hajnowka.pl, Typ: Liceum ogólnokształcące,Hajnówka
II SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA PAWŁA II W BIAŁYMSTOKU, 2slo@wp.pl, http://, Typ: Liceum ogólnokształcące,Białystok
III LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W BIAŁYMSTOKU CENTRUM KSZTAŁCENIA USTAWICZNEGO W BIAŁYMSTOKU, cku@um.bialystok.pl, http://www.ckubialystok.pl, Typ: Liceum ogólnokształcące,Białystok
III LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ŁOMŻY, osz.lomza@op.pl, http://, Typ: Liceum ogólnokształcące,Łomża
III LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KAMILA BACZYŃSKIEGO W BIAŁYMSTOKU ZESPOŁU SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 3 W BIAŁYMSTOKU, zso3@um.bialystok.pl, http://3lo.bialystok.pl, Typ: Liceum ogólnokształcące,Białystok
III LICEUM OGÓLNOKSZTAŁCĄCE IM. ŻOŁNIERZY OBWODU ŁOMŻYŃSKIEGO ARMII KRAJOWEJ W ŁOMŻY, sekretariat@lo3.lomza.pl, http://www.lo3.lomza.pl, Typ: Liceum ogólnokształcące,Łomża
III LICEUM OGÓLNOKSZTAŁCĄCE W ZAMBROWIE, zsazambrow@op.pl, http://www.zsa.powiatzambrowski.com, Typ: Liceum ogólnokształcące,Zambrów
III LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ALFREDA LITYŃSKIEGO W SUWAŁKACH, sekretariat@zs1.suwalki.eu, http://www.zs1.suwalki.edu.pl, Typ: Liceum ogólnokształcące,Suwałki
IV LICEUM OGÓLNOKSZTAŁCĄCE IM. CYPRIANA KAMILA NORWIDA W BIAŁYMSTOKU, lo4@um.bialystok.pl, http://, Typ: Liceum ogólnokształcące,Białystok
IV LICEUM OGÓLNOKSZTAŁCĄCE W ŁOMŻY, zielona210@op.pl, http://www.zielona21.lomza.pl, Typ: Liceum ogólnokształcące,Łomża
IX LICEUM OGÓLNOKSZTAŁCĄCE W BIAŁYMSTOKU ZESPOŁU SZKÓŁ OGÓLNOKSZTAŁCĄCYCH I TECHNICZNYCH W BIAŁYMSTOKU, zsoit@um.bialystok.pl, http://, Typ: Liceum ogólnokształcące,Białystok
KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO W ŁOMŻY, kglolomza@wp.pl, http://www.szkolykatolickie.lomza.pl, Typ: Liceum ogólnokształcące,Łomża
KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. MATKI BOŻEJ MIŁOSIERDZIA W BIAŁYMSTOKU, klo.bialystok@wp.pl, http://, Typ: Liceum ogólnokształcące,Białystok
LICEUM INFOTECH, fprr@adres.pl, http://, Typ: Liceum ogólnokształcące,Białystok
LICEUM MISTRZOSTWA SPORTOWEGO JAGIELLONIA W BIAŁYMSTOKU, sms@jagiellonia.pl, http://www.jagiellonia.pl, Typ: Liceum ogólnokształcące,Białystok
LICEUM MISTRZOSTWA SPORTOWEGO W ŁOMŻY, azsp@pwsip.edu.pl, http://www.pwsip.edu.pl/azsp, Typ: Liceum ogólnokształcące,Łomża
LICEUM OGÓLNOKSZATŁCĄCE DLA DOROSŁYCH NR I W WYSOKIEM MAZOWIECKIEM, sekretariat@jagiellonczyk.org.pl, http://, Typ: Liceum ogólnokształcące,WysokieMazowieckie
LICEUM OGÓLNOKSZATŁCĄCE DLA DOROSŁYCH W CIECHANOWCU, zsoiz-ciechanowiec@wp.pl, http://www.zsoiz-ciechanowiec.pl, Typ: Liceum ogólnokształcące,Ciechanowiec
