nazwa,email,www,typ,miasto
 SZKOŁA POLICEALNA BEZPIECZEŃSTWA I HIGIENY PRACY "ŻAK" W GDYNI, gdynia@zak.edu.pl, https://zak.edu.pl/, Typ: Szkoła policealna,Gdynia
 SZKOŁA POLICEALNA INFORMATYKI "ŻAK", gdynia@zak.edu.pl, https://zak.edu.pl/, Typ: Szkoła policealna,Gdynia
 SZKOŁA POLICEALNA MEDYCZNA NR 2 W GDAŃSKU, sekretariat@medyk.gda.pl, http://www.medyk.gda.pl, Typ: Szkoła policealna,Gdańsk
 SZKOŁA POLICEALNA SPOŁECZNA NR 2 W GDAŃSKU, sekretariat@medyk.gda.pl, http://www.medyk.gda.pl, Typ: Szkoła policealna,Gdańsk
3 LETNIE LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH, sekretariat@zsoio.pl, http://www.zsoio.pl, Typ: Liceum ogólnokształcące,PruszczGdański
AKADEMIA REALIZACJI DŹWIĘKU W GDYNI SZKOŁA POLICEALNA, gdynia@ard.edu.pl, http://ard.edu.pl, Typ: Szkoła policealna,Gdynia
AKADEMICKI ZESPÓŁ SZKÓŁ "POMERANIA" LICEUM OGÓLNOKSZTAŁCĄCE W CHOJNICACH, dorota@pomeraniachojnice.edu.pl, http://www.pomeraniachojnice.edu.pl, Typ: Liceum ogólnokształcące,Chojnice
AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE "LINGWISTA" IM. HYMNU NARODOWEGO, info@oswiatalingwista.eu, http://akademickieliceum.eu, Typ: Liceum ogólnokształcące,Gdańsk
AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE "POMERANIA",, http://, Typ: Liceum ogólnokształcące,Chojnice
AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE DLA MŁODZIEŻY W GDAŃSKU, magellanum@magellanum.edu.pl, http://magellanum.edu.pl, Typ: Liceum ogólnokształcące,Gdańsk
AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE PRZY WYŻSZEJ SZKOLE INŻYNIERII GOSPODARKI, liceum@wsig-slupsk.pl, http://, Typ: Liceum ogólnokształcące,Słupsk
AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE W SŁUPSKU, sekretariat@zsa.edu.pl, http://www.zsa.edu.pl, Typ: Liceum ogólnokształcące,Słupsk
ALFA EDUKACJA POLICEALNA SZKOŁA DOSKONALENIA ZAWODOWEGO W GDAŃSKU, gdansk@alfaedukacja.pl, http://, Typ: Szkoła policealna,Gdańsk
ALFA EDUKACJA POLICEALNA SZKOŁA ROZWOJU ZAWODOWEGO W GDAŃSKU, gdansk@alfaedukacja.pl, http://, Typ: Szkoła policealna,Gdańsk
AP EDUKACJA POLICEALNA SZKOŁA ROZWOJU ZAWODOWEGO W GDYNI, lodz@apedukacja.pl, http://, Typ: Szkoła policealna,Gdynia
ATUT LIDER KSZTAŁCENIA POLICEALNA SZKOŁA ROZWOJU ZAWODOWEGO, gdansk@atutszkola.pl, http://www.atutszkola.pl, Typ: Szkoła policealna,Gdańsk
BAŁTYCKA SZKOŁA POLICEALNA W GDAŃSKU, baltyckielog@wp.pl, http://, Typ: Szkoła policealna,Gdańsk
BAŁTYCKI INSTYTUT PSYCHOLOGII ALTERNATYWNEJ PLACÓWKA OŚWIATOWA STUDIUM PSYCHOLOGII ALTERNATYWNEJ, jax22@tlen.pl, http://bipa.gda.pl, Typ: Szkoła policealna,Gdańsk
BAŁTYCKIE LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W GDAŃSKU, baltyckielog@wp.pl, http://, Typ: Liceum ogólnokształcące,Gdańsk
BRITISH INTERNATIONAL SCHOOL GDAŃSK - LICEUM OGÓLNOKSZTAŁCĄCE, office@bisg.edu.pl, http://, Typ: Liceum ogólnokształcące,Gdańsk
CENTRUM KSZTAŁCENIA PLEJADA MEDYCZNA SZKOŁA POLICEALNA W GDAŃSKU, studium.novum@wp.pl, http://www.plejada.edu.pl, Typ: Szkoła policealna,Gdańsk
CENTRUM KSZTAŁCENIA PLEJADA SZKOŁA POLICEALNA NOVUM W GDAŃSKU, studium.novum@wp.pl, http://www.plejada.edu.pl, Typ: Szkoła policealna,Gdańsk
CENTRUM KSZTAŁCENIA PLEJADA SZKOŁA POLICEALNA NOVUM W TCZEWIE, plejada.tczew@gmail.com, http://www.plejada.edu.pl, Typ: Szkoła policealna,Tczew
CENTRUM KSZTAŁCENIA PLEJADA SZKOŁA POLICEALNA W STAROGARDZIE GDAŃSKIM,, http://, Typ: Szkoła policealna,StarogardGdański
CENTRUM KSZTAŁCENIA ZAWODOWEGO I  USTAWICZNEGO NR 1- SZKOŁA POLICEALNA DLA DOROSŁYCH NR 1 W GDAŃSKU, sekretariat@ckzu1.edu.gdansk.pl, http://ckzui1.gda.pl, Typ: Szkoła policealna,Gdańsk
CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO NR 1 - TECHNIKUM NR 2 W GDAŃSKU, sekretariat@ckzu1.edu.gdansk.pl, http://ckzu1.edu.gdansk.pl, Typ: Technikum,Gdańsk
CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO NR 1 I LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W GDAŃSKU, sekretariat@ckzu1.edu.gdansk.pl, http://cku.edu.gdansk.pl, Typ: Liceum ogólnokształcące,Gdańsk
